timestamp,zone,hour,weekday,predicted_spot
2025-06-09T01:52:04.060612,B,1,0,B08
2025-06-09T01:52:05.199263,B,1,0,B08
2025-06-09T01:52:06.605114,B,1,0,B08
2025-06-09T01:52:10.137025,B,1,0,B08
2025-06-09T01:52:13.993533,B,1,0,B08
2025-06-09T01:55:15.502854,B,1,0,B08
2025-06-09T01:55:16.821111,B,1,0,B08
2025-06-09T01:57:57.552591,B,1,0,B08
2025-06-09T01:58:06.037025,B,1,0,B08
2025-06-09T01:58:07.923227,B,1,0,B08
2025-06-09T02:05:46.210172,B,2,0,B08
2025-06-09T02:23:01.454378,B,2,0,B08
2025-06-09T02:35:48.227035,B,2,0,B08
2025-06-09T02:35:50.864116,B,2,0,B08
2025-06-09T02:48:44.648775,B,2,0,B08
2025-06-09T02:49:17.149345,B,2,0,B08
2025-06-09T02:49:23.915399,A,2,0,A03
2025-06-09T02:49:25.514195,A,2,0,A03
2025-06-09T02:49:27.369142,A,2,0,A03
2025-06-09T02:49:29.116928,B,2,0,B08
2025-06-09T02:49:31.585220,E,2,0,E04
2025-06-09T02:49:33.431779,S,2,0,S10
2025-06-09T02:49:34.642847,A,2,0,A03
2025-06-09T02:49:36.147161,A,2,0,A03
2025-06-09T02:54:14.804708,A,2,0,A03
2025-06-09T02:54:16.647428,B,2,0,B08
2025-06-09T02:54:18.383314,B,2,0,B08
2025-06-09T02:54:19.962454,S,2,0,S10
2025-06-09T02:54:21.581490,S,2,0,S10
2025-06-09T02:54:27.161830,A,2,0,A03
2025-06-09T02:54:28.917249,A,2,0,A03
2025-06-09T02:54:30.488699,S,2,0,S10
2025-06-09T02:54:32.199516,S,2,0,S10
2025-06-09T02:54:33.515900,B,2,0,B08
2025-06-09T02:54:34.673766,B,2,0,B08
2025-06-09T03:02:35.400337,B,3,0,B08
2025-06-09T03:02:39.988630,B,3,0,B08
2025-06-09T03:02:41.357623,E,3,0,E04
2025-06-09T03:03:54.010966,E,3,0,E04
2025-06-09T03:03:58.124210,B,3,0,B08
2025-06-09T03:04:04.388843,B,3,0,B08
2025-06-09T03:04:07.522427,E,3,0,E04
2025-06-09T03:05:30.297250,E,3,0,E04
2025-06-09T12:20:56.563107,A,12,0,A05
2025-06-09T12:20:59.831717,A,12,0,A05
2025-06-09T12:21:06.539536,A,12,0,A05
2025-06-09T12:21:08.907204,A,12,0,A05
2025-06-09T12:21:13.023375,B,12,0,B03
2025-06-09T12:26:13.668145,B,12,0,B03
2025-06-09T12:35:00.683389,B,12,0,B03
2025-06-09T12:35:07.193145,A,12,0,A05
2025-06-09T12:35:09.593383,A,12,0,A05
2025-06-09T12:35:10.951482,S,12,0,S09
2025-06-09T12:35:12.373976,S,12,0,S09
2025-06-09T12:35:14.082166,A,12,0,A05
2025-06-09T12:35:16.186449,A,12,0,A05
2025-06-09T12:35:18.029723,B,12,0,B03
2025-06-09T12:35:19.519505,B,12,0,B03
2025-06-09T12:35:21.251805,A,12,0,A05
2025-06-09T12:45:22.331491,A,12,0,A08
2025-06-09T13:07:43.612662,A,13,0,A10
2025-06-09T13:19:22.220879,A,13,0,A10
2025-06-09T13:19:22.620214,A,13,0,A10
2025-06-09T13:21:10.542215,A,13,0,A10
2025-06-09T13:33:34.804854,A,13,0,A10
2025-06-09T13:33:35.823559,A,13,0,A10
2025-06-09T13:33:36.995489,A,13,0,A10
2025-06-09T13:36:23.229227,A,13,0,A10
2025-06-09T13:41:25.663838,A,13,0,A10
2025-06-09T13:41:27.751677,A,13,0,A10
2025-06-09T13:54:06.937360,A,13,0,A10
2025-06-09T15:12:33.829270,A,15,0,A10
2025-06-09T15:12:48.184379,A,15,0,A10
2025-06-09T15:12:51.158498,A,15,0,A10
2025-06-09T15:12:55.618183,A,15,0,A10
2025-06-09T15:13:08.038686,A,15,0,A10
2025-06-09T15:13:16.334136,B,15,0,B05
2025-06-09T15:13:26.384805,B,15,0,B05
2025-06-09T15:18:09.477362,B,15,0,B05
2025-06-09T15:18:36.068946,B,15,0,B05
2025-06-09T15:18:49.974576,B,15,0,B05
2025-06-09T15:18:50.238299,B,15,0,B05
2025-06-09T15:22:27.768525,B,15,0,B05
2025-06-09T21:16:23.297729,A,21,0,A08
2025-06-09T21:16:34.666659,E,21,0,E05
2025-06-09T21:16:37.991371,E,21,0,E05
2025-06-09T21:16:39.262706,E,21,0,E05
2025-06-09T21:19:11.722888,A,21,0,A08
2025-06-09T21:25:18.993763,A,21,0,A08
2025-06-09T21:28:54.208846,A,21,0,A08
2025-06-09T21:29:51.342392,E,21,0,E05
2025-06-09T21:30:10.818796,E,21,0,E05
2025-06-09T21:30:14.546536,E,21,0,E05
2025-06-09T21:30:18.153523,E,21,0,E05
2025-06-09T21:30:23.426427,E,21,0,E05
2025-06-09T21:30:37.047675,E,21,0,E05
2025-06-09T21:30:57.473230,E,21,0,E05
2025-06-09T21:31:01.346856,E,21,0,E05
2025-06-09T21:31:11.483427,E,21,0,E05
2025-06-09T21:53:05.426386,A,21,0,A08
2025-06-09T21:53:08.485890,A,21,0,A08
2025-06-09T22:06:44.161297,A,22,0,A08
2025-06-09T22:30:04.319984,A,22,0,A08
2025-06-09T22:44:10.651771,A,22,0,A08
2025-06-09T22:44:29.695746,A,22,0,A08
2025-06-09T23:22:35.041854,A,23,0,A08
2025-06-09T23:22:41.175734,A,23,0,A08
2025-06-09T23:22:48.142917,A,23,0,A08
2025-06-09T23:22:51.198265,A,23,0,A08
2025-06-09T23:22:56.589244,A,23,0,A08
2025-06-09T23:23:32.074395,A,23,0,A08
2025-06-10T11:48:13.758443,A,11,1,A06
2025-06-10T12:23:00.887271,A,12,1,A08
2025-06-10T12:24:17.308877,A,12,1,A08
2025-06-10T12:26:02.585578,A,12,1,A08
2025-06-10T12:26:57.553237,A,12,1,A08
2025-06-10T12:26:58.385588,A,12,1,A08
2025-06-10T12:32:12.242157,A,12,1,A08
2025-06-10T12:32:16.294857,A,12,1,A08
2025-06-10T12:32:19.756266,A,12,1,A08
